Date,Question,Answer
2023-06-15 16:06:02,请问贵公司现在的股东人数是多少？,"平安银行：您好！截至2023年3月末，本行普通股股东总数（户）为506,867。感谢您对本行的关注。"
2023-06-15 16:01:26,董秘好！请问平安银行内生性资本增长极少，血液不足，究竟怎么办？,平安银行：您好！截至2023年3月末，得益于资本精细化管理、净利润增长等因素，本行核心一级资本充足率、一级资本充足率及资本充足率分别为8.91%、10.66%及13.26%，较上年末分别上升0.27、0.26及0.25个百分点，均满足监管达标要求。感谢您对我行的关注。
2023-06-15 16:00:47,董秘，你好。请问平安银行分红什么时候能到账?,平安银行：您好！本行此次委托中国结算深圳分公司代派的A股股东现金红利于2023年6月14日通过股东托管证券公司（或其他托管机构）直接划入其资金账户。感谢您对我行的关注。
2023-06-15 15:59:49,之前提问金融资产减值模型对公司经营的影响，公司董秘却回答不良贷款覆盖率，所谓金融资产指的是交易性金融资产、其他债权投资等，不是指贷款，请认真看清楚问题再回答好吗？,平安银行：您好！在本行2022年年报中详细披露了买入返售金融资产、债券投资、其他债权投资等拨备计提/转回情况，具体请参阅相关章节。感谢您对我行的关注。
2023-06-15 15:59:25,今年的分红计划什么时候出来？,平安银行：您好！本行此次委托中国结算深圳分公司代派的A股股东现金红利于2023年6月14日通过股东托管证券公司（或其他托管机构）直接划入其资金账户。感谢您对我行的关注。
2023-06-15 15:58:56,请贵公司加大利润分红比例，在30%左右,平安银行：您好！感谢您的建议。
2023-06-15 15:58:42,董秘您好！请问公司目前能否实现资本内生性增长？能否靠资本内生性增长，来提高资本充足率？谢谢！,平安银行：您好！截至2023年3月末，得益于资本精细化管理、净利润增长等因素，本行核心一级资本充足率、一级资本充足率及资本充足率分别为8.91%、10.66%及13.26%，较上年末分别上升0.27、0.26及0.25个百分点，均满足监管达标要求。感谢您对我行的关注。
2023-06-15 15:58:27,平安银行换帅，请问公司领导有什么锐意进取的措施？,平安银行：您好！本行积极贯彻落实党的二十大精神和党中央、国务院重大决策部署，积极落实监管机构各项要求，不断提升金融服务实体经济的能力，不断加大对居民消费、民营企业、小微企业、制造业、涉农等领域的金融支持力度，有效助力扩大内需，积极践行绿色金融，大力支持乡村振兴，持续强化全面风险管理，坚定不移推进高质量发展，努力在服务中国式现代化进程中展现金融担当，为全面建设社会主义现代化国家开好局起好步提供有力支撑。感谢您对我行的关注。
2023-05-22 16:16:50,为啥一季度贷款利率降了这么多，业绩还是增长的呀,平安银行：您好！ 本行积极重塑资产负债经营，持续让利实体经济，不断优化资产负债结构，加大低风险业务和优质客群的信贷投放，贷款利率有所下降。随着经济复苏动能持续向好，今年一季度本行营业收入环比去年四季度增长8.3%，实现净利润146.02亿元，同比增长13.6%。 感谢您对本行的关注。
2023-05-22 16:16:17,金融资产减值三阶段模型的施行对于公司的盈利有重大影响吗？,平安银行：您好！ 2023年一季度，本行计提的发放贷款和垫款信用减值损失130.74亿元，同比增长2.4%。2023年3月末，不良贷款率1.05%，与上年末持平；拨备覆盖率290.40%，较上年末上升0.12个百分点；拨贷比3.05%，较上年末上升0.01个百分点，风险抵补能力继续保持良好。 未来，本行将密切跟踪宏观形势变化，持续强化管控措施，保持良好的风险抵补水平，牢牢守住风险底线，确保资产质量可控。 感谢您对我行的关注。
2023-05-22 16:15:57,媒体合作方面，凤凰卫视金融事件负面消息不断，请问贵公司是否与凤凰卫视、凤凰网、吴小莉等合作？,平安银行：您好！ 我行没有应披露而未披露的相关信息。 感谢您对我行的关注。
2023-05-16 16:00:56,请问贵公司有没有引进战略投资者改善公司治理结构？现阶段进展如何？,平安银行：本行形成健全、有效、透明的良好公司治理实践，强化内部和外部的监督制衡，保障股东的合法权利并确保其得到公平对待，尊重利益相关者的基本权益，切实提升银行整体价值。感谢您对本行的关注。
2023-04-24 11:47:39,为什么一季度M2都大幅增长了，还会出现通缩现象呢？,平安银行：您好！2023年，预计积极的财政政策将会加力提效，稳健的货币政策将会更加精准有力，产业政策将会发展与安全并举，科技政策将聚焦自立自强，社会政策将兜牢民生底线，形成共促高质量发展的合力，预计宏观经济仍将保持稳定健康增长，并实现稳中求进。感谢您对我行的关注。
2023-04-24 11:46:57,国有大银行因为规模优势资金成本低，为什么贵行的净息差能够做到比大银行高呢？,平安银行：您好！我行深化资产负债经营，净息差稳中略降。本行积极重塑资产负债经营，负债端主动优化结构，把握市场趋势择机吸收低成本资金；资产端积极应对市场变化，持续加大支持实体经济力度。2022年，本集团净息差2.75%，同比2021年下降4个基点；负债平均成本率2.16%，同比2021年下降5个基点，其中吸收存款平均成本率2.09%，同比2021年上升5个基点。感谢您对我行的关注。
2023-04-24 11:46:08,请问公司最新一期的股东人数是多少，董秘。,"平安银行：您好，我行去年末股东总户数为487,200户，感谢您对我行的关注。"
