Publish Date,Text
2023-05-27,"证券代码：000528 证券简称：柳 工 公告编号：2023-57广西柳工机械股份有限公司关于 2023 年股票期权激励计划内幕信息知情人及激励对象买卖公司股票情况的自查报告本公司及董事会全体成员保证信息披露内容的真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。广西柳工机械股份有限公司（以下简称“公司”）于2023年4月25日~26日召开第九届董事会第十次会议及第九届监事会第九次会议，审议通过了《关于公司2023年股票期权激励计划（草案）及其摘要的议案》等相关议案，并于2023年4月28日在巨潮资讯网（www.cninfo.com.cn）披露了相关公告。为了充分释放激励效果、更好地保障公司2023年股票期权激励计划的顺利实施，公司于2023年5月16日召开了第九届董事会第十一次（临时）会议及第九届监事会第十次会议，审议通过了《关于公司2023年股票期权激励计划(草案修订稿)及其摘要的议案》等相关议案，并于2023年5月18日在巨潮资讯网（www.cninfo.com.cn）披露了相关公告。根据《中华人民共和国证券法》《上市公司股权激励管理办法》《上市公司信息披露管理办法》及《深圳证券交易所上市公司自律监管指南第1号——业务办理》等法律、法规及规范性文件的要求，公司针对2023年股票期权激励计划（以下简称 “本次激励计划”）采取了充分必要的保密措施，同时对本激励计划内幕信息知情人进行了登记管理。公司就本激励计划内幕信息知情人及激励对象在激励计划草案公告前6个月内，柳工董事会公告即2022年10月27日至2023年4月27日（以下简称“自查期间”）买卖公司股票的情况向中国证券登记结算有限责任公司深圳分公司（以下简称“中登公司深圳分公司”）提交了自查申请， 具体情况如下：一、核查的范围与程序1. 核查对象为公司本次激励计划的内幕信息知情人及激励对象（以下简称“核查对象”）；2. 本次激励计划的内幕信息知情人均填报了《内幕信息知情人登记表》；3. 公司向中登公司深圳分公司就核查对象在自查期间买卖公司股票情况进行了查询确认，并由中登公司深圳分公司出具了《信息披露义务人持股及股份变更查询证明》和《股东股份变更明细清单》。二、核查对象在自查期间买卖公司股票的情况说明根据中登公司深圳分公司 2023 年 5 月 18 日出具的《信息披露义务人持股及股份变更查询证明》和《股东股份变更明细清单》，经核查，核查对象在自查期间买卖公司股票情况具体如下：1. 内幕信息知情人买卖公司股票的情况在自查期间，共有 5 名内幕信息知情人存在股票交易行为。其中，公司高级副总裁文武先生于 2022 年 12 月 7 日通过集中竞价交易方式买入公司股票 16,800 股，公司副总裁袁世国先生于 2022 年 10 月 28 日通过集中竞价交易方式买入公司股票10,400 股，均系根据公司相关增持计划进行增持，具体情况详见公司分别于 2022 年5 月 10 日、2022 年 12 月 9 日在《证券时报》《中国证券报》及巨潮资讯网（www.cninfo.com.cn）刊发的《关于公司部分董事、高级管理人员增持公司股份及后续增持计划的公告》（公告编号：2022-61）、《关于公司部分董事、高级管理人员增持公司股份计划实施完成的公告》（公告编号：2022-98）；公司高级副总裁俞传芬先生于 2023 年 4 月 18 日因误操作通过集中竞价交易方式在窗口期违规减持公司股份，具体情况详见公司于 2023 年 4 月 20 日在《证券时报》《中国证券报》及巨潮资讯网（www.cninfo.com.cn）刊发的《关于高级管理人员窗口期减持公司股票及致歉的公告》（公告编号：2023-24）；其他两名人员在买卖公司股票前，并未知悉本次股权激励计划的相关信息，相关交易行为均系基于自身对公司已公开披露信息的分析、对二级市柳工董事会公告场交易情况的独立判断而进行的操作，不存在利用内幕信息进行公司股票交易的情形。2. 激励对象买卖公司股票的情况在自查期间，共有 230 名激励对象存在股……"
2023-05-27,上海礼辉律师事务所关于广西柳工机械股份有限公司2022 年度股东大会的法律意见书二〇二三年五月地址：上海市黄浦区淮海中路 918 号久事复兴大厦 10 楼 A座邮编：200020 电话：021-64338299上海礼辉律师事务所关于广西柳工机械股份有限公司2022 年度股东大会的法律意见书致：广西柳工机械股份有限公司上海礼辉律师事务所（下称“本所”）接受广西柳工机械股份有限公司（下称“公司”）委托，根据《中华人民共和国公司法》（下称《公司法》）、《上市公司股东大会规则（2022 修订）》（下称《股东大会规则》）等现行有效的法律、行政法规、规章、规范性文件及《广西柳工机械股份有限公司章程》（下称《公司章程》）的有关规定，指派律师现场出席了公司于 2023 年 5月 26日召开的 2022 年度股东大会（下称“本次股东大会”），并就本次股东大会相关事项出具本法律意见书。为出具本法律意见书，本所律师审查了公司提供的以下文件，包括但不限于：1. 现行有效的《公司章程》；2. 2022 年 12 月 31 日，公司刊登于深圳证券交易所网站的《广西柳工机械股份有限公司第九届董事会第七次（临时）会议决议公告》《广西柳工机械股份有限公司第九届监事会第六次会议决议公告》《广西柳工机械股份有限公司独立董事关于第九届董事会第七次（临时）会议相关审议事项的事前确认函》《广西柳工机械股份有限公司独立董事关于第九届董事会第七次（临时）会议相关审议事项的独立意见》；3. 2023 年 3 月 2 日，公司刊登于深圳证券交易所网站的《广西柳工机械股份有限公司第九届董事会第八次（临时）会议决议公告》《广西柳工机械股份有限公司第九届监事会第七次会议决议公告》《广西柳工机械股份有限公司独立董事关于第九届董事会第八次（临时）会议相关审议事项的独立意见》；4. 2023 年 4 月 28 日，公司刊登于深圳证券交易所网站的《广西柳工机械股份有限公司第九届董事会第十次会议决议公告》《广西柳工机械股份有限公司第九届监事会第九次会议决议公告》《广西柳工机械股份有限公司独立董事关于第九届董事会第十次会议相关审议事项的事前确认函》《广西柳工机械股份有限公司独立董事关于第九届董事会第十次会议相关审议事项的独立意见》《广西柳工机械股份有限公司独立董事公开征集委托投票权的公告》；5. 2023 年 4 月 28 日，公司刊登于深圳证券交易所网站的《广西柳工机械股份有限公司关于召开 2022 年度股东大会的通知》；6. 2023 年 5 月 18 日，公司刊登于深圳证券交易所网站的《广西柳工机械股份有限公司第九届董事会第十一次（临时）会议决议公告》《广西柳工机械股份有限公司第九届监事会第十次会议决议公告》《广西柳工机械股份有限公司独立董事关于第九届董事会第十一次（临时）会议相关审议事项的独立意见》《广西柳工机械股份有限公司独立董事公开征集委托投票权的公告》；7. 2023 年 5 月 18 日，公司刊登于深圳证券交易所网站的《广西柳工机械股份有限公司关于公司 2022 年度股东大会取消部分议案、增加临时议案并延期召开暨 2022 年度股东大会补充通知的公告》；8. 公司本次股东大会股权登记日的股东名册；9. 出席现场会议的股东的到会登记记录及凭证资料；10. 公司本次股东大会的网络投票结果；11. 公司本次股东大会议案及涉及相关议案内容的公告等文件；12. 其他会议文件。本所已得到公司如下保证：公司向本所为出具本法律意见书而提供的所有原始书面材料、副本材料、复印材料、确认文件是真实、准确、完整和有效的，并无隐瞒记载、虚假陈述和重大遗漏之处，且文件材料为副本或复印件的，其与原件一致和相符，并且一切足以影响本法律意见书的事实和文件均已向本所披露，而无任何隐瞒、遗漏、虚假或误导之处；上述签署文件或作出说明、陈述与确认的主体均具有相应的权利能力和行为能力。在本法律意见书中，本所仅对本次股东大会召集和召开的程序、出席本次股东大会人员资格和召集人资格及表决程序、表决结果是否符合有关法律、行政法规、《股东大会规则》和《公司章程》的规定发表意见，并不对本次股东大会所审议的议案内容以及该等议案所表述的事实或数据的真实性和准确性发表意……
2023-05-27,"证券代码：000528 证券简称：柳 工 公告编号：2023-56广西柳工机械股份有限公司2022 年度股东大会决议公告本公司及董事会全体成员保证信息披露内容的真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。特别提示：1．本次股东大会未出现否决议案的情形。2．本次股东大会不涉及变更前次股东大会决议的情形。一、会议召开的情况1.召开时间：（1）现场会议召开时间：2023 年 5 月 26 日（星期五）14 时 30 分。（2）网络投票时间：2023 年 5 月 26 日。通过深圳证券交易所互联网投票系统投票的时间：2023 年 5 月 26 日 9:15~15:00。通过深圳证券交易所交易系统进行网络投票的时间：2023 年 5 月 26 日 9:15～9:25；9:30~11:30 和 13:00～15:00。2.召开地点：广西柳州市柳太路 1 号广西柳工机械股份有限公司 106 会议室。3.召开方式：本次股东大会采取现场投票与网络投票相结合的方式。4.召集人：公司董事会。5.主持人：董事长曾光安先生。6.本次会议符合有关法律、行政法规、部门规章、规范性文件和公司章程的规定。二、会议出席情况1.会议总体出席情况通过现场和网络投票的股东 39 人，代表股份 1,060,290,731 股，占上市公司总股份的54.34％。2.现场出席会议情况通过现场投票的股东 18 人，代表股份 689,356,337 股，占上市公司总股份的 35.33％。3.通过网络投票出席会议情况通过网络投票的股东 21 人，代表股份 370,934,394 股，占上市公司总股份的 19.01％。4.中小股东出席的总体情况通过现场和网络投票的中小股东 24 人，代表股份 303,160,623 股，占上市公司总股份的 15.54％。其中：通过现场投票的中小股东 4 人，代表股份 31,786,124 股，占上市公司总股份的1.63％。通过网络投票的中小股东 20 人，代表股份 271,374,499 股，占上市公司总股份的13.91％。5.其他人员出席会议情况公司部分董事现场或以通讯方式、部分监事及董事会秘书现场出席了本次会议，部分高级管理人员及见证律师列席了本次会议。三、提案审议和表决情况（一）议案表决方式本次会议采取现场投票与网络投票相结合的方式投票。公司通过深圳证券交易所交 易系统和互联网投票系统向股东提供网络形式的投票平台。本次会议现场采取记名方投 票表决。（二）表决结果2022 年度股东大会表决统计结果合计投票结果出席会议有效 同意 反对 弃权议案 议案名称 表决权的股份 表决序号 占有效表决 占有效表 股数 占有效表 结果总数 股数（股） 股数（股）权比例 决权比例 （股） 决权比例关于公司2022年度董事会工作报告的议 99.9752％ 0.0084％ ……"
2023-05-24,证券代码：000528 证券简称：柳 工 公告编号：2023-55广西柳工机械股份有限公司关于 2023 年股票期权激励计划获广西壮族自治区人民政府国有资产监督管理委员会批复的公告本公司及董事会全体成员保证信息披露内容的真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。广西柳工机械股份有限公司（以下简称“公司”）分别于 2023 年 4 月 25 日~26 日、2023 年 5 月 16 日召开了第九届董事会第十次会议及第九届监事会第九次会议、第九届董事会第十一次（临时）会议及第九届监事会第十次会议，审议通过了《关于公司2023 年股票期权激励计划（草案修订稿）及其摘要的议案》等与公司股票期权激励计划相关的议案，具体内容详见公司于 2023 年 4 月 28 日及 2023 年 5 月 18 日在《中国证券报》《证券时报》及巨潮资讯网（http://www.cninfo.com.cn）上披露的相关公告。2023 年 5 月 23 日，公司收到控股股东广西柳工集团有限公司转发的广西壮族自治区人民政府国有资产监督管理委员会(以下简称“广西国资委”)《自治区国资委关于广西柳工机械股份有限公司实施股票期权激励计划的批复》(桂国资复〔2023〕70 号)，广西国资委原则同意公司实施股票期权激励计划。公司股票期权激励计划相关事宜尚需提交公司股东大会审议通过后方可实施。公司将积极推进相关工作，严格按照相关规定及时履行信息披露义务。特此公告。广西柳工机械股份有限公司董事会柳工董事会公告2023 年 5 月 23 日
2023-05-22,证券代码：000528 证券简称：柳 工 公告编号：2023-54广西柳工机械股份有限公司监事会关于公司 2023 年股票期权激励计划首次授予激励对象名单的公示情况说明及核查意见本公司及监事会全体成员保证公告内容的真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。广西柳工机械股份有限公司（以下简称“公司”）于 2023 年 4 月 25 日~26 日召开了第九届董事会第十次会议及第九届监事会第九次会议，审议通过了《关于公司 2023 年股票期权激励计划（草案）及其摘要的议案》等相关议案。为了充分释放激励效果、更好地保障公司 2023 年股票期权激励计划的顺利实施，经综合评估、慎重考虑，公司于2023 年 5 月 16 日召开了第九届董事会第十一次（临时）会议及第九届监事会第十次会议，审议通过了《关于公司 2023 年股票期权激励计划（草案修订稿）及其摘要的议案》等相关议案。根据《上市公司股权激励管理办法》（以下简称“《管理办法》”）《深圳证券交易所上市公司自律监管指南第 1 号——业务办理》（以下简称“《自律监管指南 1 号》”）以及《公司章程》等相关规定，公司对 2023 年股票期权激励计划（以下简称“本次激励计划”）首次授予激励对象的姓名和职务在公司内部进行了公示。公司监事会结合公示情况对首次授予激励对象名单进行了核查，相关公示情况及核查意见如下：一、公示情况及核查方式1. 公司对激励对象名单的公示情况柳工监事会公告公司分别于 2023 年 4 月 25 日~26 日、2023 年 5 月 16 日召开了第九届董事会第十次会议及第九届监事会第九次会议、第九届董事会第十一次（临时）会议及第九届监事会第十次会议，审议通过了《关于公司 2023 年股票期权激励计划（草案）及其摘要的议案》《关于公司 2023 年股票期权激励计划(草案修订稿)及其摘要的议案》等相关议案。公司于 2023 年 5 月 9 日就本次激励计划相关事宜对公司员工进行了宣贯，并于2023 年 5 月 11 日在公司官网及内部公告栏公示了本次激励计划调整后的《公司 2023年股票期权激励计划激励名单》，将首次授予的激励对象名单及职位在内部予以公示，名单公示期为 10 天，自 2023 年 5 月 11 日至 2023 年 5 月 20 日。截至公示期满，公司监事会未收到任何针对首次授予激励对象的异议。公司于 2023 年 5 月 16 日召开的第九届董事会第十一次（临时）会议和第九届监事会第十次会议审议通过《关于公司 2023 年股票期权激励计划(草案修订稿)及其摘要的议案》，首次授予激励对象因个别员工离职，在公示的激励对象名单中进行调减，无新增人员。2. 公司监事会对激励对象的核查方式公司监事会核查了首次授予激励对象的名单、身份证件、激励对象与公司（含分公司与子公司，下同）签订的劳动合同或聘用合同、激励对象在公司担任的职务及任职文件等。二、监事会核查意见根据《管理办法》《自律监管指南 1 号》《公司章程》等相关规定，公司对激励对象名单及职务的公示情况，结合监事会的审核结果，监事会发表核查意见如下：1. 列入本次激励计划首次授予激励对象名单的人员具备《中华人民共和国公司法》《公司章程》等法律、法规和规范性文件规定的任职资格。2. 激励对象不存在《管理办法》规定的不得成为激励对象的下列情形：(1) 最近 12 个月内被证券交易所认定为不适当人选；(2) 最近 12 个月内被中国证监会及其派出机构认定为不适当人选；(3) 最近 12 个月内因重大违法违规行为被中国证监会及其派出机构行政处罚或者采取市场禁入措施；(4) 具有《公司法》规定的不得担任公司董事、高级管理人员情形的；柳工监事会公告(5) 法律法规规定不得参与上市公司股权激励的；(6) 中国证监会认定的其他情形。3. 本次激励计划首次授予激励对象名单的人员符合《管理办法》《公司 2023 年股票期权激励计划（草……
2023-05-18,"证券代码：000528 证券简称：柳 工 公告编号：2023-52广西柳工机械股份有限公司关于公司 2022 年度股东大会取消部分议案、增加临时议案并延期召开暨 2022 年度股东大会补充通知的公告本公司及董事会全体成员保证信息披露内容的真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。广西柳工机械股份有限公司 (以下简称“公司”) 于 2023 年 4 月 28 日在《中国证券报》《证券时报》及巨潮资讯网上发布了《关于召开 2022 年度股东大会的通知》 (公告编号: 2023-46) ，定于 2023 年 5 月 22 日 14:30 召开公司 2022 年度股东大会。2023 年 5 月 16 日，公司董事会收到控股股东广西柳工集团有限公司（以下简称“柳工集团”）以书面形式提交的《关于增加公司 2022 年度股东大会临时提案的函》：鉴于公司对 2023 年股票期权激励计划草案中的激励对象名单、首次授予总量、预留数量进行调整，柳工集团提议，将《关于公司 2023 年股票期权激励计划(草案修订稿) 及其摘要的议案》作为临时提案，提交公司 2022 年度股东大会审议。根据《中华人民共和国公司法》《深圳证券交易所上市公司自律监管指引第 1 号——主板上市公司规范运作》《公司章程》及《公司股东大会议事规则》的有关规定：单独或者合计持有公司 3%以上股份的股东，可以在股东大会召开 10 日前提出临时提案并书面提交召集人。召集人应当在收到提案后 2 日内发出股东大会补充通知，并公告临时提案的内容。截至本公告日，柳工集团直接持有公司股份 505,809,038 万股，占公司总股本的25.92%，具备提出临时提案的资格，其提案内容属于《公司法》和《公司章程》的规定及股东大会职权范围，其提案程序亦符合《公司章程》和《公司股东大会议事规则》等有规定。2023 年 5 月 16 日，公司第九届董事会第十一次（临时）会议审议通过了《关于公司 2023 年股票期权激励计划（草案修订稿）及其摘要的议案》，并同意将该议案以临时提案的方式提交公司 2022 年度股东大会审议，上述议案主要内容详见公司在《中国证券报》《证券时报》及巨潮资讯网上披露的《公司第九届董事会第十一次（临时）会议决议公告》（公告编号：2023-49）。鉴于公司对原激励计划草案部分内容进行了修订，取消原定提交公司 2022 年度股东大会审议的议案12.00《关于公司2023年股票期权激励计划(草案)及其摘要的议案》。公司于 2023 年 5 月 16 日召开第九届董事会第十一次（临时）会议，审议通过了《关于延期召开公司 2022 年度股东大会的议案》，经公司董事会审慎研究，决定延期至2023 年 5 月 26 日召开公司 2022 年度股东大会。除上述调整外，公司董事会于 2023 年 4 月 28 日发布的《关于召开 2022 年度股东大会的通知》中列明的其他会议审议事项、会议召开地点、股权登记日、登记方法等相关事项均保持不变。公司现对 2023 年 4 月 28 日发布的《关于召开 2022 年度股东大会的通知》补充如下:一、召开会议的基本情况1、股东大会届次：公司 2022 年度股东大会。2、股东大会的召集人：公司董事会。2023年4月25日~26日，公司第九届董事会第十次会议审议通过《关于公司召开2022年度股东大会的议案》。2023年5月16日，公司第九届董事会第十一次（临时）会议作出取消公司2022年度股东大会部分议案、增加公司2022年度股东大会临时提案并延期召开公司2022年度股东大会的决议。3、会议召开的合法、合规性：本次股东大会的召集、召开程序符合有关法律、行政法规、部门规章、规范性文件、深圳证券交易所业务规则及《公司章程》的规定。4、会议召开的日期、时间：（1）现场会议时间：2023 年 5 月 26 日 14:30；（2）网络投票时间：2023 年 5 月 26 日。通过深圳证券交易所互联网投票系统投票的时间：2023年5月26日9:15~15:00。通过深圳证券交易所交易系统进行网络投票的时间：2023 年 5 月 26 日 9:15～9:25；9:30~11:30 和 13:00～15:00。5、会议的召开方式：本次股东大会采取现场投票与网络投票相结合的方式召开。公司将通过深圳证券交易所交易系统和互联网投票系统（http://w……"
2023-05-18,证券代码：000528 证券简称：柳 工 公告编号：2023-50广西柳工机械股份有限公司第九届监事会第十次会议决议公告本公司及监事会全体成员保证公告内容的真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。广西柳工机械股份有限公司（以下简称“公司”）第九届监事会第十次会议于 2023年 5 月 16 日在公司总部 6E 会议室召开。会议应到监事三名，实到监事三名，符合《公司法》和《公司章程》关于召开监事会的有关规定。会议经审议、表决，形成如下决议：一、审议通过《关于公司 2023 年股票期权激励计划(草案修订稿)及其摘要的议案》监事会认为：《公司 2023 年股票期权激励计划（草案修订稿）》及摘要的内容符合《公司法》《证券法》《上市公司股权激励管理办法》《国有控股上市公司（境内）实施股权激励试行办法》《关于规范国有控股上市公司实施股权激励制度有关问题的通知》等相关法律、法规和规范性文件的规定，本次激励计划的实施将有利于上市公司的持续健康发展，不存在损害上市公司及全体股东利益的情形。该项议案获 3 票赞成，0 票反对，0 票弃权。该项议案尚需提交公司股东大会进行审议。二、审议通过《关于核实公司 2023 年股票期权激励计划首次授予激励对象名单（修订稿）的议案》监事会认为：调整后的本次激励计划确定的拟首次授予激励对象均符合《公司法》柳工监事会公告《证券法》《上市公司股权激励管理办法》《国有控股上市公司（境内）实施股权激励试行办法》《关于规范国有控股上市公司实施股权激励制度有关问题的通知》等相关法律、法规、规范性文件和《公司章程》有关任职资格的规定，不存在最近 12 个月内被证券交易所认定为不适当人选的情形，不存在最近 12 个月内被中国证监会及其派出机构认定为不适当人选的情形，不存在最近 12 个月内因重大违法违规行为被中国证监会及其派出机构行政处罚或者采取市场禁入措施的情形，不存在《公司法》规定的不得担任公司董事、高级管理人员的情形，不存在法律法规规定不得参与上市公司股权激励的情形，不存在《国有控股上市公司（境内）实施股权激励试行办法》第三十五条规定的情形，符合《公司 2023 年股票期权激励计划（草案修订稿）》及摘要规定的激励对象范围，其作为本次激励计划激励对象的主体资格合法、有效。公司应当在召开股东大会前，通过公司网站或者其他途径，在公司内部公示激励对象的姓名和职务，公示期不少于 10 天；监事会将充分听取公示意见，并在公司股东大会审议本计划前 5 日披露监事会对激励对象名单审核及公示情况的说明。该项议案获 3 票赞成，0 票反对，0 票弃权。特此公告。广西柳工机械股份有限公司监事会2023 年 5 月 16 日
2023-05-18,上海礼辉律师事务所关于广西柳工机械股份有限公司2023 年股票期权激励计划（草案修订稿）的法律意见书二〇二三年五月地址：上海市黄浦区淮海中路 918 号久事复兴大厦 10 楼A座邮编：200020 电话：021-64338299目 录释 义...... 1正 文...... 1一、 公司符合实行本计划的条件...... 1二、 本计划内容的合法合规性...... 4三、 本计划的拟订、审议、公示等法定程序...... 19四、 本计划激励对象的确定...... 22五、 本计划的信息披露...... 22六、 公司未为激励对象提供财务资助...... 23七、 本计划对公司及全体股东利益的影响...... 23八、 结论意见...... 24释 义在本法律意见书内，除非上下文文义另有所指，下列词语具有下述含义：公司、柳工 指 广西柳工机械股份有限公司本计划、本激励计划 指 广西柳工机械股份有限公司 2023 年股票期权激励计划《股票期权激励计划（草 指 《广西柳工机械股份有限公司 2023 年股票期权激励计案）》 划（草案）》《股票期权激励计划（草案 《广西柳工机械股份有限公司 2023 年股票期权激励计修订稿）》 划（草案修订稿）》《激励计划管理办法》 指 《广西柳工机械股份有限公司 2023 年股票期权激励计划管理办法》《激励计划实施考核办 指 《广西柳工机械股份有限公司 2023 年股票期权激励计法》 划实施考核办法》股票期权、期权 指 公司授予激励对象在未来一定期限内以预先确定的价格和条件购买公司一定数量股票的权利激励对象 指 按照本计划获授股票期权的人员标的股票 指 根据本激励计划，激励对象行权时购买的公司股票授予日 指 公司向激励对象授予股票期权的日期，必须为交易日有效期 指 从股票期权授予登记完成之日起到股票期权全部行权或注销完毕为止的时间段行权 指 激励对象按照本计划设定的条件购买标的股票的行为行权价格 指 公司向激励对象授予股票期权时所确定的激励对象购买公司股票的价格等待期 指 股票期权授予日至股票期权可行权日之间的时间可行权日 指 激励对象可以开始行权的日期，必须为交易日《公司法》 指 《中华人民共和国公司法》（2018 年修正）《证券法》 指 《中华人民共和国证券法》（2019 年修订）《股权激励管理办法》 指 《上市公司股权激励管理办法》（2018 年修正）《国有控股上市公司（境内）实施股权激励试行办法》《股权激励试行办法》 指 （国务院国有资产监督管理委员会、财政部 国资发分配〔2006〕175 号）《股权激励有关问题的通 《关于规范国有控股上市公司实施股权激励制度有关知》 指 问题的通知》（国务院国有资产监督管理委员会、财政部国资发分配〔2008〕171 号）《股权激励工作指引》 指 《广西壮族自治区国资委关于印发〈企业控股上市公司实施股权激励工作指引〉的通知》（桂国资发〔2020〕29号）《股票……
2023-05-18,广西柳工机械股份有限公司独立董事关于第九届董事会第十一次（临时）会议相关审议事项的独立意见广西柳工机械股份有限公司（以下简称“公司”）董事会于2023年5月16日召开了第九届董事会第十一次（临时）会议，我们作为该公司的独立董事按有关法律、法规、规章以及监管制度的规定对公司以下事项进行了审查和监督：1. 《关于公司2023年股票期权激励计划（草案修订稿）及其摘要的议案》。现就上述事项发表如下意见：一、《关于公司2023年股票期权激励计划（草案修订稿）及其摘要的议案》1．公司不存在《上市公司股权激励管理办法》（以下简称《管理办法》）、《国有控股上市公司（境内）实施股权激励试行办法》（以下简称《试行办法》）等法律、法规和规范性文件规定的禁止实施股权激励计划的情形，公司具备实施股权激励计划的主体资格。2．公司 2023 年股票期权激励计划（草案修订稿）及其摘要的拟订、内容和审议程序符合《管理办法》《试行办法》《广西壮族自治区国资委关于印发〈企业控股上市公司实施股权激励工作指引〉的通知》（以下简称《工作指引》）等有关法律、法规和规范性文件的规定；对各激励对象股票期权的授予安排、行权安排（包括授予数量、授予日期、等待期、可行权日、行权价格、行权条件等事项）未违反有关法律、法规的规定，不存在损害公司及全体股东利益的情形。3．本次激励计划激励对象的确定依据和范围符合《公司法》《证券法》《管理办法》《试行办法》《工作指引》等法律、法规和规范性文件的规定，不存在法律、法规禁止的情形。4．公司就本次激励计划已制订考核管理办法，并建立了完善的绩效评价考核体系和激励约束机制，以确保激励计划的有效实施。柳工独立董事意见5．公司不存在向激励对象提供贷款、贷款担保以及其他任何形式财务资助的计划或安排。6．公司实施股权激励计划有利于进一步建立、健全公司长效激励与约束机制，吸引和留住优秀人才，充分调动核心员工的积极性，能有效地将股东利益、公司利益和员工个人利益结合在一起。经核查，我们认为: 公司是基于部分激励对象职务发生变化等原因对原《公司 2023年股票期权激励计划（草案）》进行了修订，修订的内容符合相关法律、法规和规范性文件的规定。本次股票期权激励计划有利于公司的持续发展，不存在损害公司及全体股东尤其是中小股东利益的情形。公司本次股票期权激励计划所授予的激励对象均符合法律法规和规范性文件所规定的成为股票期权激励对象的条件。因此，我们一致同意公司实施本次股权激励事项，并同意将《关于公司 2023 年股票期权激励计划(草案修订稿)及其摘要的议案》提交公司股东大会进行审议。柳工独立董事意见（此页无正文，为广西柳工机械股份有限公司独立董事《关于第九届董事会第十一次（临时）会议相关审议事项的独立意见》的签字页。）广西柳工机械股份有限公司独立董事：李嘉明 陈雪萍 邓腾江 黄志敏2023 年 5 月 16 日
2023-05-18,"广西柳工机械股份有限公司2023 年股票期权激励计划（草案修订稿）摘要二〇二三年五月声明本公司及全体董事、监事保证本激励计划及其摘要不存在虚假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的法律责任。特别提示1、本激励计划依据《中华人民共和国公司法》（以下简称“《公司法》”）、《中华人民共和国证券法》（以下简称“《证券法》”》、《公司章程》）、《国有控股上市公司（境内）实施股权激励试行办法》(国资发分配[2006]175 号)（以下简称“《175 号文》”）、《关于规范国有控股上市公司实施股权激励制度有关问题的通知》(国资发分配[2008]171 号)（以下简称“《171 号文》”）、《上市公司股权激励管理办法》（以下简称“《管理办法》”）、《自治区国资委关于印发<企业控股上市公司实施股权激励工作指引>的通知》(桂国资发〔2020〕29 号)、《自治区国资委关于进一步做好监管企业控股上市公司股权激励工作有关事项的通知》(桂国资发〔2020〕32 号)等有关法律、行政法规和规范性文件及广西柳工机械股份有限公司（以下简称“公司”、“柳工”或“上市公司”）《公司章程》的规定制定。2、公司不存在《管理办法》第七条规定的不得实行股权激励的情形：（1）最近一个会计年度财务会计报告被注册会计师出具否定意见或者无法表示意见的审计报告；（2）最近一个会计年度财务报告内部控制被注册会计师出具否定意见或者无法表示意见的审计报告；（3）上市后最近 36 个月内出现过未按法律法规、公司章程、公开承诺进行利润分配的情形；（4）法律法规规定不得实行股权激励的；（5）中国证监会认定的其他情形。3、本激励计划激励对象不存在《管理办法》第八条规定的不得成为激励对象的情形：（1）最近 12 个月内被证券交易所认定为不适当人选；（2）最近 12 个月内被中国证监会及其派出机构认定为不适当人选；（3）最近 12 个月内因重大违法违规行为被中国证监会及其派出机构行政处罚或者采取市场禁入措施；（4）具有《公司法》规定的不得担任公司董事、高级管理人员情形的；（5）法律法规规定不得参与上市公司股权激励的；（6）中国证监会认定的其他情形。4、本激励计划采用的激励形式为股票期权，其股票来源为柳工向激励对象定向发行公司 A 股普通股股票。本次计划拟授予的股票期权总数量为 5,854 万份，对应的标的股票数量为 5,854 万股，占公司已发行股本总额的 3%，其中首次授予的股票期权数量为 5,339 万份，占当期股票期权授予总量的 91.2%，预留 515 万份，占当期股票期权授予总量的 8.8%。上市公司全部在有效期内的股权激励计划所涉及的标的股票总数累计未超过公司股本总额的 10%，任何一名激励对象通过全部在有效期内的股权激励计划获授的本公司股票累计未超过公司股本总额的 1%。每份股票期权在满足行权条件的情况下，拥有在有效期内以行权价格购买 1 股公司股票的权利。5、本激励计划首次授予的股票期权的行权价格为 7.20 元/股。该行权价格为下列价格之较高者：（1）本计划草案公告前 1 个交易日的公司股票交易均价，即人民币7.193 元；（2）本计划草案公告前 20 个交易日的公司股票交易均价，即人民币6.922 元；（3）公司标的股票的单位面值，即 1 元/股。6、本次股票期权激励计划的首次授予激励对象不超过 1,100 人，占公司截至 2023 年 5 月 15 日的总人数比约为 6.7%。包括：公司董事、高级管理人员、经公司董事会认定的对公司经营业绩和未来发展有直接影响的核心业务、技术和管理骨干、技能能手以上的技能专家（不包括独立董事、外部董事、监事）。预留激励对象指本激励计划获得股东大会批准时尚未确定但在本激励计划存续期间纳入激励计划的激励对象，由本激励计划经股东大会审议通过后 12 个月内确定。预留激励对象的确定标准参照首次授予的标准确定。7、股票期权有效期内若发生资本公积金转增股本、派发股票红利、股份拆细、缩股、增发股票等事项，股票期权的数量和行权价格将做相应调整。8、本激励计划股票期权不设置授予环节的业绩考核授予条件。9、本激励计划整体有效期为自其生效日起 6 年，即自期权首次授予登记完成之日起至激励对象获授的期权全部全部行权或注销完毕之日止，最长不超过 72 个月。……"
