公告日期：2023-05-23	2022 年年度权益分派实施公告证券代码：300653 证券简称：正海生物 公告编号：2023-040烟台正海生物科技股份有限公司2022 年年度权益分派实施公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。烟台正海生物科技股份有限公司（以下简称“本公司”或“公司”）2022 年年度权益分派方案已获2023年5月10日召开的2022年年度股东大会审议通过，现将权益分派事宜公告如下：一、股东大会审议通过权益分派方案情况1、2023 年 5 月 10 日，公司召开 2022 年年度股东大会，审议通过了《关于公司 2022 年度利润分配预案的议案》，具体内容为：以 2022 年 12 月 31 日公司总股本 180,000,000 股为基数，向全体股东每 10 股派发现金红利人民币 6.00 元（含税），共派发现金红利人民币 108,000,000 元（含税）。本次现金分红后的剩余未分配利润结转以后年度，利润分配方案经董事会审议后至实施前，公司股本如发生变动，将按照分配总额不变的原则对分配比例进行调整。2、自上述分配方案披露至实施期间，公司股本总额未发生变化。3、本次实施的分配方案与股东大会审议通过的分配方案一致。4、本次实施分配方案距离股东大会审议通过的时间未超过两个月。二、权益分派方案本公司 2022 年年度权益分派方案为：以公司现有总股本 180,000,000 股为基数，向全体股东每 10 股派 6.00 元人民币现金（含税；扣税后，通过深股通持有股份的香港市场投资者、QFII、RQFII 以及持有首发前限售股的个人和证券投资基金每 10 股派 5.40 元；持有首发后限售股、股权激励限售股及无限售流通股的个人股息红利税实行差别化税率征收，本公司暂不扣缴个人所得税，待个人转让股票时，根据其持股期限计算应纳税额【注】；持有首发后限售股、股权激励限售股及无限售流通股的证券投资基金所涉红利税，对香港投资者持有基金份额部2022 年年度权益分派实施公告分按 10%征收，对内地投资者持有基金份额部分实行差别化税率征收）。【注：根据先进先出的原则，以投资者证券账户为单位计算持股期限，持股1 个月（含 1 个月）以内，每 10 股补缴税款 1.20 元；持股 1 个月以上至 1 年（含1 年）的，每 10 股补缴税款 0.60 元；持股超过 1 年的，不需补缴税款。】三、股权登记日与除权除息日本次权益分派股权登记日为：2023 年 5 月 29 日除权除息日为：2023 年 5 月 30 日四、权益分派对象本次分派对象为：截止 2023 年 5 月 29 日下午深圳证券交易所收市后，在中国证券登记结算有限责任公司深圳分公司（以下简称“中国结算深圳分公司”）登记在册的本公司全体股东。五、权益分派方法1、本公司此次委托中国结算深圳分公司代派的 A 股股东现金红利将于 2023年 5 月 30 日通过股东托管证券公司（或其他托管机构）直接划入其资金账户。2、以下 A 股股东的现金红利由本公司自行派发：序号 股东账号 股东名称1 02*****891 秘波海2 08*****293 嘉兴正海创业投资合伙企业（有限合伙）在权益分派业务申请期间（申请日：2023 年 5 月 17 日至登记日：2023 年 5月 29 日），如因自派股东证券账户内股份减少而导致委托中国结算深圳分公司代派的现金红利不足的，一切法律责任与后果由我公司自行承担。六、有关咨询办法咨询地址：烟台经济技术开发区南京大街 7 号咨询联系人：宋侃、吕杨琼咨询电话：0535-6971993传真电话：0535-6971993七、备查文件1、公司 2022 年年度股东大会决议……

公告日期：2023-05-19	股份减持计划时间过半证券代码：300653 证券简称：正海生物 公告编号：2023-039烟台正海生物科技股份有限公司关于持股 5%以上股东股份减持计划时间过半的公告公司持股 5%以上股东 Longwood Biotechnologies Inc.保证向本公司提供的信息内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。本公司及董事会全体成员保证公告内容与信息披露义务人提供的信息一致。2023 年 1 月 20 日，烟台正海生物科技股份有限公司（以下简称“公司”）披露了《关于持股 5%以上股东减持计划提前终止及后续减持计划的公告》（公告 编号：2023-005）（以下简称“本次减持”），公司持股 5%以上股东 LongwoodBiotechnologies Inc.（以下简称“Longwood”）拟在 2023 年 2 月 20 日至 2023 年8 月 19 日期间（通过集中竞价方式）、2023 年 2 月 2 日至 2023 年 8 月 1 日期间（通过大宗交易方式）合计减持公司股份不超过公司总股本的 4%。近日，公司收到 Longwood 出具的《关于股份减持计划实施情况的告知函》，截至 2023 年 5 月 19 日，本次减持计划时间过半。根据《上市公司股东、董监高减持股份的若干规定》（证监会公告[2017]9 号）及《深圳证券交易所上市公司 股东及董事、监事、高级管理人员减持股份实施细则》等相关规定的要求，现将 具体情况公告如下：一、本次减持实施情况1、股东减持股份情况截至本公告日，本次减持计划时间已过半，股东 Longwood 未通过任何方式减持公司股份。2、股东本次减持前后持股情况本次减持前持有股份 本次减持后持有股份股东名称 股份性质 股数 占总股本 股数 占总股本（股） 比例（%） （股） 比例（%）Longwood 合计持有股份 13,811,874 7.67 13,811,874 7.67股份减持计划时间过半其中：无限售条件股份 13,811,874 7.67 13,811,874 7.67有限售条件股份 0 0 0 0二、其他情况说明1、Longwood 本次减持符合《深圳证券交易所创业板股票上市规则》、《深圳证券交易所上市公司自律监管指引第 2 号——创业板上市公司规范运作》、《上市公司股东、董监高减持股份的若干规定》（证监会公告[2017]9 号）及《深圳证券交易所上市公司股东及董事、监事、高级管理人员减持股份实施细则》等相关法律、法规及规范性文件的规定，不存在违反上述规定的情况。2、Longwood 本次减持未违反相关承诺，本次实际减持情况与此前披露的减持计划一致。3、截至本公告日，Longwood 已披露的减持计划尚未实施完毕，公司将持续关注上述股东股份减持计划实施的进展情况，并按照相关法律法规的规定及时履行信息披露义务。三、备查文件Longwood 出具的《股份减持计划实施情况告知函》。特此公告。烟台正海生物科技股份有限公司董 事 会2023 年 5 月 19 日

公告日期：2023-05-12	证券代码：300653 证券简称：正海生物烟台正海生物科技股份有限公司投资者关系活动记录表编号：2023002√特定对象调研 □媒体采访 □分析师会议投资者关系 □新闻发布会 □业绩说明会 □路演活动活动类别√现场参观 □其他参与单位名 深圳市徐星私募 张东伟；杭州哲云私募 丁谢峰；个人投资者 徐方称及人员 云、赵连平、姜荣光、刘凡、王居福、邹萍萍、陈建花、胡荣雁；姓名 证券日报 彭春来、赵宁、赵彬彬、王僖等人时 间 2023 年 5 月 10 日、2023 年 5 月 11 日地 点 公司会议室上市公司接 董事长、总经理宋侃先生待人员姓名投资者关系活动主要内容本次活动主要采用解答提问的方式进行，主要内容如下：1、公司的业绩及分红情况如何？答：回顾过去几年公司业绩保持稳定增长。2017 年至 2022 年，营业收入由 1.83亿元增长至 4.33 亿元，累计增长 137.02%；归属于上市公司股东净利润由 6,166.96万元增长至 18,543.68 万元，累计增长 200.69%。公司也一致秉持“合法合规经营，积极回报投资者”的价值理念，给予投资者积极稳定的投资回报，2017 年度至 2021年度已完成派发现金分红合计 2.84 亿元（含税），2022 年度利润分配金额为 1.08亿元（含税），占当期归属于上市公司股东净利润的 58.24%，谢谢！2、公司一季度收入下降 7.35%，是受哪些因素影响？答：2023 年一季度公司实现营业收入 1.09 亿元，同比下降 7.35%；实现归属于上市公司股东的净利润 5,339.88 万元，同比下降 2.95%；归属于上市公司股东的扣除非经常性损益的净利润 5,316.16 万元，同比下降 2.71%；一季度公司的毛利率为89.78%，净利率为 48.95%。公司一季度收入略微下降主要受口腔科产品的影响，可吸收硬脑（脊）膜补片、皮肤修复膜等产品经营正常，谢谢！3、公司一季度毛利率较去年四季度提升 1 个点的主要原因是什么？答：公司一季度毛利率提升主要源于今年以来执行的一些降本增效工作初见成效，另外历史上公司一季度的毛利率通常位于年内较高水平，谢谢！4、以公司的视角来看，种植牙市场的恢复情况如何？答：以口腔修复膜和骨修复材料两款产品的销售情况来看，今年 1、2 月份受到疫情放开、春节假期的双重影响，销量同比大幅受挫，3 月份受部分民营口腔医院提前执行集采后价格的影响，公司产品销量同比大幅增长。综合下来，公司一季度整体收入仅下降 7.35%。受集采政策落地观望，需求阶段性释放等因素，进入二季度种植需求出现一定回落，市场此前预期种植牙将迎来较大幅度的增长，公司也认同未来种植牙市场需求空间广阔，但具体过程可能曲折反复，主要与集采结果具体的落地实施、消费者购买力等因素有关，谢谢！5、公司口腔修复膜面临的市场竞争情况如何？答：公司产品口腔修复膜国内市场份额处于领先地位，近年来市场出现了一些竞品，对此公司将在成本控制、品牌树立、医生使用习惯培养等方面充分准备，以应对竞争加剧的情况，公司有信心维持当前的市场地位，谢谢！6、公司 2022 年可吸收硬脑（脊）膜补片产品收入下降是否受到集采的影响？答：截至 2022 年底，公司在已经开展带量采购的江苏、山东、福建、河南、河北、安徽等 6 个省份全部中选。集采导致公司的脑膜售价有所下降，但也促进了销量的增长。对于未来有可能开展的集中带量采购计划，公司也将积极应对，谢谢！7、公司活性生物骨产品相比其他已上市产品的优势在哪里？答：活性生物骨作为……

公告日期：2023-05-10	证券代码：300653 证券简称：正海生物 公告编号：2023-036烟台正海生物科技股份有限公司2022 年年度股东大会决议公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。特别提示：1、本次股东大会无变更、否决提案的情况；2、本次股东大会以现场投票和网络投票相结合的方式召开。一、会议召开情况烟台正海生物科技股份有限公司（以下简称“公司”）2022 年年度股东大会于 2023 年 5 月 10 日下午 14:30 在烟台经济技术开发区南京大街 7 号烟台正海生物科技股份有限公司会议室召开，本次会议采取现场投票与网络投票结合的表决方式。其中：（1）现场会议召开时间：2023 年 5 月 10 日（星期三）下午 14:30（2）网络投票时间：通过深圳证券交易所交易系统进行网络投票的时间为2023 年 5 月 10 日的交易时间，即 9:15—9:25，9:30—11:30 和 13:00—15:00；通过深圳证券交易所互联网系统投票的具体时间为2023年5月10日9:15—15:00。本次股东大会由公司董事会召集，董事长宋侃先生主持，会议的召集和召开符合《公司法》、《上市公司股东大会规则》、《深圳证券交易所创业板股票上市规则》及《公司章程》等法律法规和规范性文件的规定。二、会议出席情况1、股东出席会议的总体情况出席本次会议的股东及股东代表共计 25 人，代表公司股份 82,970,931 股，占公司股份总数的 46.0950%。2、股东出席现场会议的情况出席现场会议的股东及股东代表共计 13 人，代表公司股份 80,049,524 股，占公司股份总数的 44.4720%。3、网络投票情况通过网络投票的股东共计 12 人，代表公司有表决权的股份数为 2,921,407股，占公司股份总数的 1.6230％。4、中小股东出席会议的总体情况通过现场和网络参加本次会议的除上市公司董事、监事、高级管理人员及单独或者合计持有上市公司 5%以上股份股东以外的其他股东共计 22 人，代表股份4,422,557 股，占公司股份总数的 2.4570%。5、公司部分董事、监事、高级管理人员及见证律师等相关人士出席（列席）了会议。三、会议审议情况本次会议采取现场投票与网络投票结合的表决方式，经与会股东认真讨论，审议并通过了如下议案：1、审议通过了《关于公司 2022 年度董事会工作报告的议案》（1）总表决情况：同意 82,970,931 股，占出席会议所有股东所持有表决权股份的 100.0000%；反对 0 股，占出席会议所有股东所持有表决权股份的 0.0000%；弃权 0 股，占出席会议所有股东所持有表决权股份的 0.0000%。（2）中小股东表决情况：同意 4,422,557 股，占出席会议中小股东所持有表决权股份的 100.0000％；反对 0 股，占出席会议中小股东所持有表决权股份的0.0000%；弃权 0 股，占出席会议中小股东所持有表决权股份的 0.0000%。该议案已获得出席股东大会的股东（包括股东代理人）所持表决权二分之一以上通过。2、审议通过了《关于公司 2022 年度监事会工作报告的议案》（1）总表决情况：同意 82,970,931 股，占出席会议所有股东所持有表决权股份的 100.0000%；反对 0 股，占出席会议所有股东所持有表决权股份的 0.0000%；弃权 0 股，占出席会议所有股东所持有表决权股份的 0.0000%。（2）中小股东表决情况：同意 4,422,557 股，占出席会议中小股东所持有表决权股份的 100.0000％；反对 0 股，占出席会议中小股东所持有表决权股份的0.0000%；弃权 0 股，占出席会议中小股东所持有表决权股份的 0.0000%。该议案已获得出席股东大会的股东（包括股东代理人）所持表决权二分之一以上通过。3、审议通过了《关于公司 2022 年年度报告全文及其摘要的议案》（1）总表决情况：同意 82,970,931 股，占出席会议所有股东所持有表决权股份的 100.0000%；反对 0 股，占出席会议所有股东所持有表决权股份的 0.0000%；弃权 0 股，占出席会议所有股东所持有表决权股份的 0.0000%。（2）中……

公告日期：2023-05-10	上海锦天城（青岛）律师事务所关于烟台正海生物科技股份有限公司2022 年年度股东大会的法律意见书地址：青岛市市南区香港中路 8 号青岛中心大厦 A 座 45 层电话：（86532）5576-9166 传真：（86532）5576-9155邮编：266071上海锦天城（青岛）律师事务所关于烟台正海生物科技股份有限公司2022 年年度股东大会的法律意见书致：烟台正海生物科技股份有限公司上海锦天城（青岛）律师事务所（以下简称“本所”）接受烟台正海生物科技股份有限公司（以下简称“公司”或“正海生物”）的委托，就公司召开 2022年年度股东大会的有关事宜，根据《中华人民共和国公司法》（以下简称“《公司法》”）、《中华人民共和国证券法》（以下简称“《证券法》”）和《上市公司股东大会规则》（以下简称“《股东大会规则》”）等法律、行政法规、规范性文件以及《烟台正海生物科技股份有限公司章程》（以下简称“《公司章程》”）的有关规定，出具本法律意见书。为出具本法律意见书，本所律师对本次股东大会所涉及的事项进行了必要的核查和验证，审查了本所律师认为出具本法律意见书所必须查阅的相关文件、资料，并参加了公司本次股东大会的全过程。鉴此，本所律师根据上述法律、法规及规范性文件的要求，按照律师行业公认的业务标准、道德规范和勤勉尽责精神，现出具法律意见如下：一、本次股东大会的召集人资格及召集、召开程序2023 年 4 月 10 日，公司召开第三届董事会第九次会议，作出召集本次股东大会的决议，并于 2023 年 4 月 11 日发出了《关于召开 2022 年年度股东大会的通知》（以下简称“《通知》”），前述会议通知载明了本次股东大会的召集人、召开日期和时间（包括现场会议时间和网络投票时间）、召开方式、股权登记日、出席对象、会议地点等基本情况以及会议审议事项、提案编码、现场会议登记方法、参加网络投票的股东的身份认证与投票程序、会议联系人及联系方式等予以公告，公告刊登的日期距本次股东大会的召开日期已达 20 日。公司董事会于 2023年 4 月 14 日在中国证券监督管理委员会指定信息披露网站上刊登了《关于 2022年年度股东大会增加临时提案暨股东大会补充通知的公告》，将本次股东大会增加的临时提案予以公告，《通知》中其他事项不变。本次股东大会的现场会议于 2023 年5 月 10日 14:30 在烟台经济技术开发区南京大街 7 号公司会议室如期召开；网络投票通过深圳证券交易所交易系统和互联网投票系统进行，其中，通过深圳证券交易所交易系统进行网络投票的时间为2023 年 5 月 10 日的交易时间，即 9:15—9:25，9:30—11:30 和 13:00—15:00；通过深圳证券交易所互联网系统投票的具体时间为 2023 年 5 月 10 日 9:15—15:00。本所律师核查后认为，本次股东大会召集人资格合法、有效，本次股东大会召集、召开程序符合《公司法》《股东大会规则》等法律、法规和其他规范性文件以及《公司章程》的有关规定。二、本次股东大会出席会议人员的资格1、根据公司出席本次股东大会现场会议的股东签名及授权委托书、股东账户卡等材料，出席本次股东大会现场会议的股东及股东代理人为 13 名，代表有表决权的股份 80,049,524 股，占公司股份总数的 44.4720%。经本所律师核查，出席本次股东大会现场会议的股东及股东代理人均持有出席会议的合法证明，其出席会议的资格均合法有效。2、根据深圳证券信息有限公司提供的数据，参与本次股东大会网络投票的股东共 12 名，代表有表决权的股份 2,921,407 股，占公司股份总数的 1.6230%。上述通过网络投票系统参加表决的股东，其身份已经由深圳证券交易所交易系统予以认证，故本所律师认为，参与本次股东大会网络投票的股东资格合法有效。经核查，本次股东大会的召集人和出席会议人员的资格符合《公司法》《股东大会规则》和《公司章程》的规定。三、本次股东大会审议的议案经本所律师审核，公司本次股东大会审议的议案均属于公司股东大会的职权范围，并且于召开本次股东大会的通知中所列明的审议事项相一致；本次股东大会现场会议未发生对通知的议案进行修改的情形。四、本次股东大会的表决程序与表决结果按照本次股东大会的议程及审议事项，本次股东大会以现场投票、网络投票相结合的表决方式，对……

公告日期：2023-05-10	补选董事的公告证券代码：300653 证券简称：正海生物 公告编号：2023-037烟台正海生物科技股份有限公司关于补选董事的公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。烟台正海生物科技股份有限公司（以下称“公司”）于 2023 年 5 月 10 日召开了 2022 年年度股东大会，审议通过了《关于补选董事的议案》，同意选举张昌盛先生为公司非独立董事，任期自本次股东大会审议通过之日起至第三届董事会任期届满之日止。张昌盛先生未持有公司股份，任职资格符合担任上市公司董事的条件，能够胜任所聘岗位职责的要求，未发现有《公司法》及《公司章程》等规定不得担任公司董事的情况，亦未有被中国证监会确定为市场禁入者并且禁入尚未解除的情况，不是失信被执行人。董事会中兼任公司高级管理人员的董事人数总计未超过公司董事总数的二分之一。公司独立董事已对张昌盛先生的任职资格出具了独立意见，具体内容详见2023 年 4 月 11 日刊登在巨潮资讯网（http://www.cninfo.com.cn）的《独立董事关于相关事项的独立意见》。张昌盛先生简历附后。特此公告。烟台正海生物科技股份有限公司董 事 会2023 年 5 月 10 日补选董事的公告附件：张昌盛先生，1989 年出生，汉族，中国国籍，无永久境外居留权，对外经济贸易大学金融学硕士。现任正海集团战略发展部投融资管理，烟台正海合泰科技股份有限公司董事。截至本公告披露日，张昌盛先生未持有本公司股票，与公司的董事、监事、高级管理人员、实际控制人及持股 5%以上的股东不存在关联关系，不存在《深圳证券交易所上市公司自律监管指引第 2 号—创业板上市公司规范运作》第3.2.3条的情形。
