Publish Date,Text
2023-05-30,三丰智能05月29日获深股通增持84.19万股
2023-05-28,三丰智能：密切跟踪人形机器人技术发展趋势动态
2023-05-28,三丰智能：本周深股通持股量环比减少41%，周内减仓幅度居专用设备板块第九
2023-05-27,三丰智能：公司旗下工厂占地800余亩 其中生产性建设面积20多万平方米
2023-05-26,三丰智能5月26日快速反弹
2023-05-26,三丰智能5月26日盘中跌幅达5%
2023-05-26,三丰智能05月25日获深股通增持82.54万股
2023-05-25,三丰智能获新能源车企4.08亿元订单 欲今年实现扭亏为盈
2023-05-25,三丰智能5月25日快速反弹
2023-05-25,三丰智能05月24日被深股通减持216.98万股
2023-05-24,三丰智能5月24日快速上涨
2023-05-24,三丰智能5月24日快速反弹
2023-05-24,三丰智能5月24日盘中涨幅达5%
2023-05-24,三丰智能5月24日加速下跌
2023-05-24,三丰智能05月23日被深股通减持64.09万股
2023-05-23,三丰智能：签订4.08亿元日常经营合同
2023-05-23,三丰智能：与客户A及其子公司签订4.1亿元焊接自动线、主线柔性自动线等重大合同
2023-05-23,三丰智能：签订日常经营重大合同
2023-05-23,三丰智能5月23日快速回调
2023-05-23,三丰智能5月23日快速反弹
2023-05-23,三丰智能05月22日被深股通减持99.3万股
2023-05-21,深股通连续4周净买入三丰智能 累计净买入1100.7万元
2023-05-20,三丰智能05月19日被深股通减持9.15万股
2023-05-19,三丰智能5月19日快速反弹
2023-05-19,三丰智能5月19日快速上涨
2023-05-19,三丰智能05月18日获深股通增持180.52万股
2023-05-18,川财证券首次给予三丰智能增持评级 预计2023年净利润同比增长115.22%
2023-05-18,三丰智能5月18日快速上涨
2023-05-18,三丰智能05月17日获深股通增持12.25万股
2023-05-17,三丰智能5月17日盘中涨幅达5%
2023-05-17,三丰智能05月16日被深股通减持7.97万股
2023-05-14,【调研快报】三丰智能接待川财证券有限责任公司等多家机构调研
2023-05-14,三丰智能：公司的工业移动机器人及智能物流装备的市场份额逐年上升
2023-05-14,三丰智能：接受川财证券等机构调研
2023-05-14,深股通连续3周净买入三丰智能 累计净买入458.92万元
2023-05-13,三丰智能05月12日被深股通减持32.83万股
2023-05-12,三丰智能05月11日被深股通减持4.58万股
2023-05-11,三丰智能05月10日获深股通增持70.03万股
2023-05-10,三丰智能05月09日被深股通减持3.58万股
2023-05-09,三丰智能05月08日获深股通增持7.68万股
2023-05-06,三丰智能05月05日获深股通增持11.31万股
2023-05-05,三丰智能05月04日获深股通增持20.48万股
2023-05-04,三丰智能5月4日快速上涨
2023-05-03,三丰智能本周获深股通增持66.63万股 最新持股量335万股
2023-04-29,三丰智能04月28日获深股通增持31.96万股
2023-04-28,三丰智能04月27日获深股通增持32.38万股
2023-04-27,三丰智能04月26日被深股通减持1.15万股
2023-04-26,三丰智能04月25日被深股通减持56.68万股
2023-04-25,三丰智能股价连续2日创近2年新低
2023-04-25,三丰智能04月24日获深股通增持60.12万股
2023-04-24,三丰智能：2023年一季度净利润同比增长5.85%
2023-04-24,三丰智能：2022年净利润-5.09亿，上年盈利9977.9万元
2023-04-24,三丰智能股东户数下降1.53%，户均持股8.21万元
2023-04-24,三丰智能：2022年度净利润亏损约5.09亿元
2023-04-24,注意！三丰智能将于5月16日召开股东大会
2023-04-24,三丰智能：公司实际对外担保余额为4000万元
2023-04-24,三丰智能：2023年第一季度净利润约1010万元 同比增加5.85%
2023-04-24,三丰智能：公司2022年度计提商誉减值准备约5.14亿元
2023-04-24,三丰智能：4月22日召开董事会会议
2023-04-24,三丰智能股价创近2年新低
2023-04-23,三丰智能：本周深股通持股量环比减少39%，周内减仓幅度居专用设备板块第八
2023-04-22,三丰智能04月21日被深股通减持88.16万股
2023-04-21,三丰智能04月20日被深股通减持8.43万股
2023-04-20,三丰智能04月19日获深股通增持30.29万股
2023-04-19,三丰智能04月18日被深股通减持42.84万股
2023-04-18,三丰智能04月17日被深股通减持41.27万股
2023-04-16,深股通连续2周净卖出三丰智能 累计净卖出469.22万元
2023-04-15,三丰智能04月14日被深股通减持26.02万股
2023-04-14,三丰智能04月13日被深股通减持92.07万股
2023-04-13,三丰智能04月12日获深股通增持73.42万股
2023-04-12,三丰智能04月11日被深股通减持31.96万股
2023-04-05,三丰智能04月04日被深股通减持35.93万股
2023-04-04,三丰智能04月03日被深股通减持18.33万股
2023-04-03,三丰智能：截至本公告日 朱汉平累计质押股数约为1.71亿股
2023-04-02,深股通连续3周净买入三丰智能 累计净买入1482.89万元
2023-03-31,三丰智能03月30日被深股通减持35.15万股
2023-03-30,三丰智能03月29日获深股通增持47.68万股
2023-03-29,三丰智能03月28日获深股通增持15.22万股
2023-03-28,三丰智能03月27日获深股通增持88.65万股
2023-03-26,深股通连续2周净买入三丰智能 累计净买入1255.32万元
